CustomerID,tenure,MonthlyCharges,Contract,InternetService,TechSupport,PaymentMethod,PredictedChurn,RiskLevel,RecommendedAction,MonthlyRevenueAtRisk,ChurnProbabilityPct
8627-ZYGSZ,47,78.9,One year,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,23.07
3410-YOQBQ,31,79.2,Two year,DSL,Yes,Mailed check,0,Low Risk,Continue regular engagement,0.0,2.57
3170-NMYVV,50,20.15,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,0.9
7410-OIEDU,10,79.85,Month-to-month,Fiber optic,No,Mailed check,1,Medium Risk,Offer contract upgrade incentive,79.85,43.46
2273-QCKXA,1,49.05,Month-to-month,DSL,Yes,Mailed check,1,Medium Risk,Offer contract upgrade incentive,49.05,35.25
0731-EBJQB,52,20.4,One year,No,No internet service,Electronic check,0,Low Risk,Continue regular engagement,0.0,3.8
1891-QRQSA,64,111.6,Two year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,7.74
8028-PNXHQ,62,24.25,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.0
5630-AHZIL,3,64.5,Month-to-month,DSL,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,20.91
2673-CXQEU,56,110.5,One year,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,18.74
6416-JNVRK,46,55.65,One year,DSL,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,10.95
5590-ZSKRV,8,54.65,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,14.32
0191-ZHSKZ,30,74.75,Month-to-month,DSL,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,16.67
3887-PBQAO,45,25.9,One year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,4.88
5919-TMRGD,1,79.35,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,79.35,87.11
8108-UXRQN,11,50.55,Month-to-month,DSL,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,25.56
9191-MYQKX,7,75.15,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,75.15,53.66
9919-YLNNG,42,103.8,Month-to-month,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,34.28
0318-ZOPWS,49,20.15,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.74
4445-ZJNMU,9,99.3,Month-to-month,Fiber optic,No,Credit card (automatic),1,High Risk,Offer annual contract discount + proactive support,99.3,88.19
4808-YNLEU,35,62.15,One year,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,4.81
1862-QRWPE,48,20.65,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.17
2796-NNUFI,46,19.95,Two year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,1.07
3016-KSVCP,29,33.75,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,27.03
4767-HZZHQ,30,82.05,Month-to-month,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,25.99
2424-WVHPL,1,74.7,Month-to-month,Fiber optic,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,74.7,60.86
7233-PAHHL,66,84.0,Two year,DSL,Yes,Mailed check,0,Low Risk,Continue regular engagement,0.0,2.08
6067-NGCEU,65,111.05,Month-to-month,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,20.87
9848-JQJTX,72,100.9,Two year,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,4.79
8637-XJIVR,12,78.95,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,78.95,54.02
9803-FTJCG,71,66.85,One year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.62
0278-YXOOG,5,21.05,Month-to-month,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,11.12
3212-KXOCR,52,21.0,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.6
4598-XLKNJ,25,98.5,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,98.5,72.9
6380-ARCEH,1,20.2,Month-to-month,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,33.1
3679-XASPY,1,19.45,Month-to-month,No,No internet service,Electronic check,1,Medium Risk,Offer contract upgrade incentive,19.45,48.25
7123-WQUHX,38,95.0,One year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,9.54
5386-THSLQ,66,45.55,One year,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,10.99
3192-NQECA,68,110.0,Two year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,22.9
6180-YBIQI,5,24.3,Month-to-month,DSL,No,Mailed check,1,Medium Risk,Offer contract upgrade incentive,24.3,37.04
6728-DKUCO,72,104.15,One year,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,5.12
9750-BOOHV,32,30.15,One year,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,5.96
8597-CWYHH,43,94.35,One year,Fiber optic,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,15.63
2848-YXSMW,72,19.4,Two year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,0.74
0486-HECZI,55,96.75,Month-to-month,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,34.84
4549-ZDQYY,52,57.95,One year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,4.42
5712-AHQNN,43,91.65,Month-to-month,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,31.16
4846-WHAFZ,37,76.5,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,76.5,56.27
5256-SKJGO,64,54.6,Two year,DSL,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,5.43
3071-VBYPO,3,89.85,Month-to-month,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,30.53
9560-BBZXK,36,31.05,Two year,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,3.02
5299-RULOA,10,100.25,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,100.25,86.83
8402-OOOHJ,41,20.65,Two year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,0.97
9445-ZUEQE,27,85.2,Month-to-month,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,28.85
1091-SOZGA,56,99.8,One year,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,23.1
2928-HLDBA,6,20.7,Month-to-month,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,7.91
0404-SWRVG,3,74.4,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,74.4,72.04
6497-TILVL,7,50.7,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,14.19
7219-TLZHO,4,20.85,Month-to-month,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,9.7
4622-YNKIJ,33,88.95,Two year,Fiber optic,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,4.55
4412-YLTKF,27,78.05,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,78.05,55.63
6734-PSBAW,72,23.55,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,0.76
3930-ZGWVE,1,19.75,Month-to-month,No,No internet service,Mailed check,1,Medium Risk,Offer contract upgrade incentive,19.75,38.23
2639-UGMAZ,71,56.45,One year,DSL,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,8.46
2876-GZYZC,13,85.95,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,85.95,67.63
6207-WIOLX,25,58.6,Month-to-month,DSL,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,20.54
8587-XYZSF,67,50.55,Two year,DSL,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.95
3091-FYHKI,1,35.45,Month-to-month,DSL,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,35.45,80.28
2372-HWUHI,2,44.35,Month-to-month,DSL,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,44.35,50.76
7799-LGRDP,43,25.7,Two year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,3.44
7850-VWJUU,23,75.0,Month-to-month,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,20.95
3774-VBNXY,64,20.2,Two year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,1.12
6217-KDYWC,57,19.6,Two year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,1.84
0390-DCFDQ,1,70.45,Month-to-month,Fiber optic,No,Mailed check,1,High Risk,Offer annual contract discount + proactive support,70.45,78.94
3146-MSEGF,72,88.05,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,0.76
4080-OGPJL,8,71.15,Month-to-month,DSL,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,22.86
1095-WGNGG,61,101.05,Two year,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,3.97
2636-SJDOU,64,84.3,One year,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,6.7
1131-QQZEB,71,23.95,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,0.98
5716-EZXZN,65,99.05,Two year,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,2.37
6837-BJYDQ,3,19.6,One year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,4.07
2135-RXIHG,1,45.65,Month-to-month,DSL,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,45.65,72.27
6440-DKQGE,30,64.5,One year,DSL,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,4.41
3466-BYAVD,15,69.5,Month-to-month,DSL,Yes,Mailed check,0,Low Risk,Continue regular engagement,0.0,17.78
3780-YVMFA,8,68.55,Month-to-month,DSL,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,31.69
3874-EQOEP,7,95.0,Month-to-month,Fiber optic,No,Mailed check,1,High Risk,Offer annual contract discount + proactive support,95.0,75.91
1679-JRFBR,70,108.15,One year,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,11.76
9073-ZZIAY,62,86.1,Two year,DSL,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,1.89
3077-RSNTJ,6,19.7,Month-to-month,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,9.68
6551-GNYDG,14,80.9,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,80.9,45.0
9167-APMXZ,22,84.15,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,84.15,44.22
2749-CTKAJ,22,20.15,One year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,3.3
6371-NZYEG,16,64.25,Two year,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,2.49
7554-NEWDD,10,25.7,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.89
8992-VONJD,13,56.0,Month-to-month,DSL,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,22.25
0867-MKZVY,20,82.4,Month-to-month,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,31.67
4482-EWFMI,2,69.7,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,69.7,66.25
4648-YPBTM,53,73.9,Two year,DSL,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.61
2907-ILJBN,11,20.6,One year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,2.75
6345-FZOQH,69,19.9,Two year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,0.92
3376-BMGFE,4,70.9,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,70.9,57.9
5997-OPVFA,72,89.05,Two year,DSL,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,0.4
3445-HXXGF,58,45.3,Month-to-month,DSL,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,45.3,51.08
1159-WFSGR,16,20.4,Month-to-month,No,No internet service,Electronic check,0,Low Risk,Continue regular engagement,0.0,11.22
7654-YWJUF,43,84.25,One year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,7.88
1875-QIVME,2,104.4,Month-to-month,Fiber optic,Yes,Electronic check,1,High Risk,Offer annual contract discount + proactive support,104.4,76.4
6727-IOTLZ,14,81.95,Two year,DSL,Yes,Mailed check,0,Low Risk,Continue regular engagement,0.0,3.06
0691-JVSYA,53,94.85,One year,Fiber optic,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,18.7
5918-VUKWP,32,20.55,One year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.99
1744-JHKYS,34,24.7,Month-to-month,No,No internet service,Electronic check,0,Low Risk,Continue regular engagement,0.0,7.4
2656-FMOKZ,15,74.45,Month-to-month,Fiber optic,No,Mailed check,1,Medium Risk,Offer contract upgrade incentive,74.45,54.33
2070-FNEXE,7,76.45,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,76.45,36.09
5947-SGKCL,15,105.35,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,105.35,52.64
3712-PKXZA,61,20.55,One year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.89
6317-YPKDH,1,29.95,Month-to-month,DSL,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,29.95,46.41
6582-OIVSP,1,45.3,Month-to-month,DSL,No,Mailed check,1,Medium Risk,Offer contract upgrade incentive,45.3,53.18
9367-WXLCH,8,84.5,Month-to-month,Fiber optic,No,Bank transfer (automatic),1,Medium Risk,Offer contract upgrade incentive,84.5,67.34
5524-KHNJP,33,74.75,One year,DSL,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,9.88
1918-ZBFQJ,13,79.25,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,79.25,61.67
1024-GUALD,1,24.8,Month-to-month,DSL,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,24.8,71.69
4827-USJHP,20,51.8,Month-to-month,DSL,No,Mailed check,0,Low Risk,Continue regular engagement,0.0,20.08
8167-GJLRN,3,30.4,Month-to-month,DSL,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,30.4,41.21
0956-SYCWG,13,19.65,One year,No,No internet service,Electronic check,0,Low Risk,Continue regular engagement,0.0,5.77
8017-UVSZU,40,56.6,Month-to-month,DSL,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,17.87
7100-FQPRV,43,71.9,One year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,9.78
2472-OVKUP,6,91.0,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,91.0,71.53
2984-RGEYA,69,19.75,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.25
9680-NIAUV,72,109.7,Two year,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.18
2146-EGVDT,59,19.3,Two year,No,No internet service,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,1.34
2604-IJPDU,20,96.55,Month-to-month,Fiber optic,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,96.55,54.07
9178-JHUVJ,24,24.1,Two year,No,No internet service,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.3
6168-YBYNP,59,111.35,Month-to-month,Fiber optic,Yes,Electronic check,0,Low Risk,Continue regular engagement,0.0,32.42
7255-SSFBC,72,112.25,Two year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,2.56
3645-DEYGF,1,20.75,Month-to-month,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,30.15
9323-HGFWY,27,101.9,One year,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,21.22
8544-GOQSH,14,80.05,Month-to-month,Fiber optic,Yes,Credit card (automatic),1,Medium Risk,Offer contract upgrade incentive,80.05,37.77
3363-DTIVD,71,105.55,Two year,Fiber optic,No,Electronic check,0,Low Risk,Continue regular engagement,0.0,7.03
7018-WBJNK,13,78.3,Month-to-month,Fiber optic,No,Credit card (automatic),1,Medium Risk,Offer contract upgrade incentive,78.3,45.81
9142-KZXOP,44,68.85,Month-to-month,Fiber optic,No,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,20.54
7674-YTAFD,33,79.95,One year,Fiber optic,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,11.48
6348-SNFUS,72,55.45,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,0.39
1285-OKIPP,1,79.9,Month-to-month,Fiber optic,No,Electronic check,1,High Risk,Offer annual contract discount + proactive support,79.9,83.35
7825-ECJRF,19,106.6,Month-to-month,Fiber optic,Yes,Electronic check,1,Medium Risk,Offer contract upgrade incentive,106.6,66.16
1347-KTTTA,64,102.45,One year,Fiber optic,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,15.17
7841-TZDMQ,2,46.0,Month-to-month,DSL,No,Credit card (automatic),1,Medium Risk,Offer contract upgrade incentive,46.0,51.24
4195-NZGTA,1,25.25,Month-to-month,DSL,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,25.25,58.12
7157-SMCFK,61,19.75,Two year,No,No internet service,Mailed check,0,Low Risk,Continue regular engagement,0.0,1.72
4709-LKHYG,29,20.0,One year,No,No internet service,Electronic check,0,Low Risk,Continue regular engagement,0.0,2.48
2504-DSHIH,23,86.8,Month-to-month,Fiber optic,No,Electronic check,1,Medium Risk,Offer contract upgrade incentive,86.8,46.82
0699-NDKJM,57,58.75,Month-to-month,DSL,No,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,14.09
9286-BHDQG,72,45.25,Two year,DSL,Yes,Credit card (automatic),0,Low Risk,Continue regular engagement,0.0,0.62
0230-WEQUW,66,56.6,Two year,DSL,Yes,Bank transfer (automatic),0,Low Risk,Continue regular engagement,0.0,1.33
